chain_name,name,address,latitude,longitude,phone,website,rating,total_ratings,price_level,business_status,opening_hours,google_maps_url,place_id,types,scraped_at
Second Cup,Second Cup,"106 Təbriz küçəsi, Bakı, Azerbaijan",40.403330499999996,49.8728556,050 275 84 97,N/A,4.4,45,N/A,OPERATIONAL,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=13376363327383749512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJYRT5FOR9MEARiENFQ5Njork,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:57.044630
Second Cup,Second Cup,"99 Mərkəzi bulvar küçəsi, Bakı, Azerbaijan",40.3841664,49.888127999999995,050 275 84 06,https://www.instagram.com/secondcupazerbaijan/,4.1,21,N/A,OPERATIONAL,Monday: 7:30 AM – 12:30 AM | Tuesday: 7:30 AM – 12:30 AM | Wednesday: 7:30 AM – 12:30 AM | Thursday: 7:30 AM – 12:30 AM | Friday: 7:30 AM – 12:30 AM | Saturday: 7:30 AM – 12:30 AM | Sunday: 7:30 AM – 12:30 AM,https://maps.google.com/?cid=11690087327228942128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJzUbJX5d9MEARMNfGxHyIO6I,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:57.349727
Second Cup,Second Cup,"54 Mehdi Mehdizadə küç., Bakı, Azerbaijan",40.3810703,49.8670318,050 275 93 00,N/A,4.5,70,N/A,OPERATIONAL,Monday: 7:30 AM – 12:30 AM | Tuesday: 7:30 AM – 12:30 AM | Wednesday: 7:30 AM – 12:30 AM | Thursday: 7:30 AM – 12:30 AM | Friday: 7:30 AM – 12:30 AM | Saturday: 7:30 AM – 12:30 AM | Sunday: 7:30 AM – 12:30 AM,https://maps.google.com/?cid=10461810506740048984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJP9dcnEh9MEARWKSwETrRL5E,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:57.654879
Second Cup,Second Cup,"37 Bakıxanov Küçəsi, Bakı, Azerbaijan",40.3909978,49.845824199999996,051 207 55 77,N/A,4.3,133,N/A,OPERATIONAL,Monday: 7:30 AM – 12:30 AM | Tuesday: 7:30 AM – 12:30 AM | Wednesday: 7:30 AM – 12:30 AM | Thursday: 7:30 AM – 12:30 AM | Friday: 7:30 AM – 12:30 AM | Saturday: 7:30 AM – 12:30 AM | Sunday: 7:30 AM – 12:30 AM,https://maps.google.com/?cid=2825101967425184356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ-RLvsWt9MEARZKKidkXHNCc,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:57.960079
Second Cup,Second Cup,"151 Neftçilər Prospekti, Bakı, Azerbaijan",40.3754673,49.8610878,050 284 01 14,N/A,4.5,43,N/A,OPERATIONAL,Monday: 7:30 AM – 12:00 AM | Tuesday: 7:30 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:30 AM – 12:00 AM | Friday: 7:30 AM – 12:00 AM | Saturday: 7:30 AM – 12:00 AM | Sunday: 7:30 AM – 12:00 AM,https://maps.google.com/?cid=14339228979471336970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJP6NoRs99MEARCkZgysgs_8Y,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:58.262567
Second Cup,Second Cup,"Afiyəddin Cəlilov 1, Bakı, Azerbaijan",40.3777931,49.863124799999994,050 275 93 25,https://www.instagram.com/secondcupazerbaijan,4.1,29,N/A,OPERATIONAL,Monday: 7:30 AM – 12:30 AM | Tuesday: 7:30 AM – 12:30 AM | Wednesday: 7:30 AM – 12:30 AM | Thursday: 7:30 AM – 12:30 AM | Friday: 7:30 AM – 12:30 AM | Saturday: 7:30 AM – 12:30 AM | Sunday: 7:30 AM – 12:30 AM,https://maps.google.com/?cid=6217909170927413487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ_UQAPSt9MEAR76jFcnJzSlY,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:58.567670
Second Cup,Second Cup,"1 Məhəmməd Naxçıvani, Bakı, Azerbaijan",40.3825947,49.8237737,051 230 05 15,N/A,4.2,63,N/A,OPERATIONAL,Monday: 7:30 AM – 12:00 AM | Tuesday: 7:30 AM – 12:00 AM | Wednesday: 7:30 AM – 12:00 AM | Thursday: 7:30 AM – 12:00 AM | Friday: 7:30 AM – 12:00 AM | Saturday: 7:30 AM – 12:00 AM | Sunday: 7:30 AM – 12:00 AM,https://maps.google.com/?cid=6520565982881719798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJW2TG0Fx9MEAR9iUpyDa0fVo,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:58.872789
Second Cup,Second Cup,"4 Məmmədəmin Rəsulzadə, Bakı, Azerbaijan",40.3683487,49.838328499999996,050 251 51 80,http://www.mysecondcup.com/,4,340,N/A,OPERATIONAL,Monday: 7:30 AM – 1:00 AM | Tuesday: 7:30 AM – 1:00 AM | Wednesday: 7:30 AM – 1:00 AM | Thursday: 7:30 AM – 1:00 AM | Friday: 7:30 AM – 1:00 AM | Saturday: 7:30 AM – 1:00 AM | Sunday: 7:30 AM – 1:00 AM,https://maps.google.com/?cid=8542518639797360691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJvx4Fpo59MEARM1hGVHEfjXY,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:34:59.177958
Starbucks,Starbucks Ganjlik Mall,"Ganjlik Mall, 830-835 Fətəli Xan Xoyski, Bakı, Azerbaijan",40.400181599999996,49.8520797,(012) 404 84 98,http://www.starbucks.az/?utm_source=gbp&utm_medium=yext&y_source=1_MTAyMDc2NjE2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,266,N/A,OPERATIONAL,Monday: 8:00 AM – 11:30 PM | Tuesday: 8:00 AM – 11:30 PM | Wednesday: 8:00 AM – 11:30 PM | Thursday: 8:00 AM – 11:30 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 8:00 AM – 11:30 PM | Sunday: 8:00 AM – 11:30 PM,https://maps.google.com/?cid=12568269807144944118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJh6L0imd9MEAR9kEk0Mx2a64,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:00.330055
Starbucks,Starbucks,"CV28+54J, Həsənoğlu, Bakı, Azerbaijan",40.400306,49.865378799999995,N/A,https://www.starbucks.az/,4,4,N/A,OPERATIONAL,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,https://maps.google.com/?cid=17457752251679908058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJu8oCGgB9MEAR2iAogi1lRvI,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:00.635221
